EVTNAME91;;;;;;;;;;;;;x
british_colony_purchase_title;British Colony Purchase;;;;Comprar colonias británicas;;;;;;;;x
egyptian_concessions2_desc;Our autonomous region of Egypt begins to gain a lot of power, we must take advantage of that but also control them, taking the regions closest to the center of our empire will be a good measure.;;;;Nuestra región autónoma de comienza Egipto a ganar mucho poder, debemos aprovechar eso pero también controlarlos, tomar las regiones más cercanas al centro de nuestro imperio será una buena medida.;;;;;;;;x
egyptian_concessions3_title;Palestine concession;;;;Concesión de Palestina;;;;;;;;x
egyptian_concessions3_desc;Our autonomous region of Egypt begins to gain a lot of power, we must take advantage of that but also control them, taking the regions closest to the center of our empire will be a good measure.;;;;Nuestra región autónoma de comienza Egipto a ganar mucho poder, debemos aprovechar eso pero también controlarlos, tomar las regiones más cercanas al centro de nuestro imperio será una buena medida.;;;;;;;;x
hedjaz_conquest_title;Conquest of Hedjaz;;;;Conquista de Hiyaz;;;;;;;;x
hedjaz_conquest_desc;The Arabian peninsula begins to be of great interest to the rest of the world, we must take it first.;;;;La península arábiga comienza a ser de gran interés para el resto del mundo, debemos tomarla primero.;;;;;;;;x
the_nordic_model_title;The Nordic Model;;;;El Modelo Nórdico;;;;;;;;x
the_nordic_model_desc;The Nordic model is underpinned by a mixed-market capitalist economic system that features high degrees of private ownership, with the exception of Norway which includes a large number of state-owned enterprises and state ownership in publicly listed firms.\n The Nordic model is described as a system of competitive capitalism combined with a large percentage of the population employed by the public sector.;;;;El modelo nórdico se sustenta en un sistema económico capitalista de mercado mixto que presenta altos grados de propiedad privada, con la excepción de Noruega, que incluye un gran número de empresas estatales y propiedad estatal en empresas que cotizan en bolsa.\n El modelo nórdico es descrito como un sistema de capitalismo competitivo combinado con un gran porcentaje de la población empleada por el sector público.;;;;;;;;x
tnm_embrace_globalization_title;TNM Embrace the Globalization;;;;EMN Reforzar la Globalización;;;;;;;;x
tnm_embrace_globalization_desc;The model includes support for a universalist welfare state aimed specifically at enhancing individual autonomy and promoting social mobility, a corporatist system involving a tripartite arrangement where representatives of labour and employers negotiate wages and labour market policy mediated by the government, and a commitment to private ownership within a market-based mixed economy.;;;;El modelo incluye el apoyo a un estado de bienestar universalista dirigido específicamente a mejorar la autonomía individual y promover la movilidad social, un sistema corporativista que involucra un arreglo tripartito donde representantes de trabajadores y empleadores negocian los salarios y la política del mercado laboral mediada por el gobierno, y un compromiso con la propiedad privada dentro de una economía mixta basada en el mercado.;;;;;;;;x
norway_train_title;Norway Train;;;;Tren Noruego;;;;;;;;x
norway_train_desc;Norway has large reserves of coal and minerals, and with the recent industrial development of the nation, this is starting to be a huge market, but we need infrastructure to be effective.;;;;Noruega tiene grandes reservas de carbón y minerales, y con el reciente desarrollo industrial de la nación, este está comenzando a ser un mercado enorme, pero necesitamos infraestructura para ser eficaz.;;;;;;;;x
white_lands_title;White Lands;;;;Tierras Blancas;;;;;;;;x
white_lands_desc;Since the independence of Finland assimilation efforts have been made but they have not been very effective, we need to take more nationalistic measures to reinforce the Finnish identity of the nation.;;;;Desde la independencia de Finlandia se han realizado esfuerzos de asimilación pero no han sido muy efectivos, necesitamos tomar más medidas nacionalistas para reforzar la identidad finlandesa de la nación.;;;;;;;;x
jon_sigurosson_legacy_title;Jon Sigurosson Legacy;;;;El Legado de Jon Sigurosson;;;;;;;;x
jon_sigurosson_legacy_desc;Desde que Islandia existe, la nacion se ha mantenido lejos de todo problema continental, pero ser neutral en europa es dificil, debemos aplicar las enseñansas del fundador de la nacion para garantizar la prosperidad de la isla.;;;;Desde que Islandia existe, la nación se ha mantenido lejos de todo problema continental, pero ser neutral en Europa es dificil, debemos aplicar las enseñanzas del fundador de la nación para garantizar la prosperidad de la isla.;;;;;;;;x
expand_seas_title;Expand the Seas;;;;Expandir los Mares;;;;;;;;x
expand_seas_desc;The main economic activity of our nation is fishing, so expanding our trade area should be vital for the current economic situation, even so, the English seas are close and could create tension in the area.;;;;La principal actividad económica de nuestra nación es la pesca, por lo que ampliar nuestra zona comercial debería ser vital para la situación económica actual, aun así, los mares ingleses están cerca y podrían crear tensión en la zona.;;;;;;;;x
bears_civilization_title;Bears Civilization;;;;Civilización de Osos;;;;;;;;x
bears_civilization_desc;Incredible, the bears are creating a civilization!;;;;¡Increíble, los osos están creando una civilización!;;;;;;;;x
make_a_good_decision_title;Make a Good Decision;;;;Toma una Buena Decisión;;;;;;;;x
make_a_good_decision_desc;Our country is far from the old world problems but, at the same time,  we have problems in common with other countries of the new world.\n Listening what the people needs its a very good idea, just try to make a good decision after.;;;;Nuestro país está lejos de los problemas del viejo mundo pero, al mismo tiempo, tenemos problemas en común con otros países del nuevo mundo.\n Escuchar las necesidades de la gente es una muy buena idea, solo trata de tomar una buena decisión después.;;;;;;;;x
enact_tratado_de_igualdad_title;Enact Tratado De Igualdad;;;;Establecer Tratado de Igualdad;;;;;;;;x
enact_tratado_de_igualdad_desc;Now, The Mexican Empire is a world focus, a lot of people of other countries wants to come to live in here, but first, our empire needs to make some political decisions.;;;;Ahora, el Imperio Mexicano es un foco mundial, mucha gente de otros países quiere venir a vivir aquí, pero primero, nuestro imperio necesita tomar algunas decisiones políticas.;;;;;;;;x
reject_manifest_destiny_title;Reject the Manifest Destiny;;;;Rechaza el Destino Manifiesto;;;;;;;;x
reject_manifest_destiny_desc;Manifest Destiny was a political and diplomatic weapon that the United States tried to use to have a casus belli over our northern territories and achieve coast-to-coast expansion. As Mexicans, we cannot allow this type of abuse to our territory, and now as Great Power, we are going to counter that measure with our own Manifesto.;;;;El Destino Manifiesto fue un arma política y diplomática que Estados Unidos intentó utilizar para tener un casus belli sobre nuestros territorios del norte y lograr la expansión de costa a costa. Como mexicanos, no podemos permitir este tipo de abusos en nuestro territorio, y ahora como Gran Potencia vamos a contrarrestar esa medida con nuestro propio Manifiesto.;;;;;;;;x
found_fundidora_title;Found The Fundidora;;;;Fundar La Fundidora;;;;;;;;x
found_fundidora_desc;At the end of the 19th century, it was known to many businessmen of the existence of numerous iron and coal deposits in the surroundings of Monterrey, for which, with the support of Porfirio Díaz, financial and fiscal support was obtained, as well as the land to settle down, envisioning the potential of the state of Nuevo León as a steel producer.\n On May 5, 1900, the Compañia Fundidora de Fierro y Acero de Monterrey was incorporated with a capital of 10,000,000 pesos.;;;;A finales del siglo XIX, era del conocimiento de muchos empresarios de la existencia de numerosos yacimientos de fierro y carbón en los alrededores de Monterrey, por lo que, con el apoyo de Porfirio Díaz se consigue apoyo financiero y fiscal, así como el terreno a instalarse, vislumbrando el potencial del estado de Nuevo León como productor de acero.\n El 5 de mayo de 1900 fue constituida la Compañía Fundidora de Fierro y Acero de Monterrey con un capital de 10 000 000 de pesos.;;;;;;;;x
create_mexican_empire_title;Create The Mexican Empire;;;;Crear el Imperio Mexicano;;;;;;;;x
create_mexican_empire_desc;The First Mexican Empire was a constitutional monarchy, the first independent government of Mexico and the only former colony of Spain to establish a monarchy.\n The Empire was plaged throughout its short existence by questions about its legality, conflicts between congress and the emperor, and a backrupt treasury. Iturbide, the sole monarch of the empire, reconvened Congress in March, 1823 and offered his abdication, ending with the First Empire .\n Now, after beating USA and Texas and stop their expansionist ideas, we can apply a Counter-Manifest Destiny, we have the entire continent to our feets.\n The ideal to restore the ancient mexican empire is getting power in the mind of the people, for our culture, and our past, with the bless of Quetzalcoatl, its time to rise again.;;;;El Primer Imperio Mexicano fue una monarquía constitucional, el primer gobierno independiente de México y la única ex colonia de España en establecer una monarquía.\n El Imperio estuvo plagado a lo largo de su corta existencia por cuestiones sobre su legalidad, conflictos entre el Congreso y el emperador, y una tesorería en ruinas. Iturbide, el único monarca del imperio, volvió a convocar el Congreso en marzo de 1823 y ofreció su abdicación, terminando con el Primer Imperio.\n Ahora, después de vencer a EE. UU. Y Texas y detener sus ideas expansionistas, podemos aplicar un Contra-Destino Manifiesto, tenemos todo el continente a nuestros pies.\n El ideal para restaurar el antiguo imperio mexicano es conseguir poder en la mente de la gente, para nuestra cultura y nuestro pasado, con la bendición de Quetzalcoatl, es hora de resurgir.;;;;;;;;x
popol_vuh_restoration_title;Popol Vuh Restoration;;;;Restauración del Popol Vuh;;;;;;;;x
popol_vuh_restoration_desc;Popol Vuh is a text recounting the mythology and history of the K'iche' people, one of the Maya peoples, who inhabit the Guatemalan Highlands, Mexican Chiapas, Campeche and Quintana Roo states, and areas of Belize.\n The Popol Vuh is a foundational sacred narrative of the K'iche' people from long before the Spanish conquest of Mexico. It includes the Mayan creation myth, the exploits of the Hero Twins Hunahpú and Xbalanqué, and a chronicle of the K'iche' people.;;;;Popol Vuh es un texto que relata la mitología y la historia del pueblo K'iche' , uno de los pueblos mayas que habitaban en el altiplano guatemalteco, los estados mexicanos de Chiapas, Campeche y Quintana Roo y áreas de Belice.\n El Popol Vuh es una narrativa sagrada fundamental del pueblo K'iche' mucho antes de la conquista española de México. Incluye el mito de la creación maya, las hazañas de los Héroes Gemelos Hunahpú e Xbalanqué y una crónica del pueblo K'iche'.;;;;;;;;x
demand_rio_grande_region_title;Demand Rio Grande eegion;;;;Demandar la región de Rio Grande;;;;;;;;x
demand_rio_grande_region_desc;Although we are now an independent nation, we do not have all the regions that correspond to us, some territories are still in possession of Mexico and some others have been annexed to the northern nations, therefore, we must claim our right over those lands.;;;;Si bien ahora somos una nación independiente, no tenemos todas las regiones que nos corresponden, algunos territorios aún están en posesión de México y otros han sido anexados a las naciones del norte, por lo que debemos reclamar nuestro derecho sobre esas tierras.;;;;;;;;x
desert_cultures_na_title;North American Cultures;;;;Culturas Nortamericanas;;;;;;;;x
desert_cultures_na_desc;As a nation of the desert area of North America, creating a solid culture should be a priority, for that, we must also accept the citizenship of the Native Americans who have lived in the region for centuries, it will be very useful and we could learn from their culture.;;;;Como nación de la zona desértica de Norteamérica, crear una cultura sólida debe ser una prioridad, para eso, también debemos aceptar la ciudadanía de los nativos americanos que han vivido en la región durante siglos, será de mucha utilidad y podríamos aprender de su cultura.;;;;;;;;x
revolutionary_movement_des_title;Revolutionary Movement;;;;Movimiento Revolucionario;;;;;;;;x
revolutionary_movement_des_desc;The liberal movements of the people in our young nation are very strong, although it is a sign that our nation must adapt to the new era and open trade with the world, as well as have an exemplary government.;;;;Los movimientos liberales de los pueblos de nuestra joven nación son muy fuertes, aunque es una señal de que nuestra nación debe adaptarse a la nueva era y abrir el comercio con el mundo, así como tener un gobierno ejemplar.;;;;;;;;x
enforce_independence_na_title;Enforce Independence;;;;Reforzar Independencia;;;;;;;;x
enforce_independence_na_desc;For years we have been called as a Mexican Nation, but it is not precise, we are a unique nation and different from the rest of North America, neither Mexico nor the United States will be able to define our destiny.;;;;Hace años que nos llaman como Nación Mexicana, pero no es preciso, somos una nación única y diferente al resto de Norteamérica, ni México ni Estados Unidos van a poder definir nuestro destino.;;;;;;;;x
trade_mastery_title;Trade Mastery;;;;Maestría en Comercio;;;;;;;;x
trade_mastery_desc;Our exemplary government is in the eyes of the world, everyone talks about how our young nation is an example to follow and they begin to be interested in making treaties with us, mainly commercial treaties.;;;;Nuestro gobierno ejemplar está en los ojos del mundo, todos hablan de cómo nuestra joven nación es un ejemplo a seguir y comienzan a interesarse en hacer tratados con nosotros, principalmente tratados comerciales.;;;;;;;;x
globalization_in_america_title;Globalization in America;;;;Globalización en América;;;;;;;;x
globalization_in_america_desc;The commercial and industrial opening with the rest of the world has allowed us to take advantage of the technological innovations of the Great Powers as well as to develop our industry and agriculture, our standard of living is very high and people are beginning to come to establish themselves and feeling as one more people of our great nation.;;;;La apertura comercial e industrial con el resto del mundo nos ha permitido aprovechar las innovaciones tecnológicas de las Grandes Potencias así como desarrollar nuestra industria y agricultura, nuestro nivel de vida es muy alto y la gente está comenzando a llegar a establecerse ellos mismos, sintiendose como uno más de nuestra gran nación.;;;;;;;;x
the_last_defense_title;The Last Defense;;;;La Última Defensa;;;;;;;;x
the_last_defense_desc;Hard times require hard decisions, to survive in this war we need to declare a Total War, mobilizing people of farms to get more soldiers maybe we could have a chance.;;;;Los tiempos difíciles requieren decisiones difíciles, para sobrevivir en esta guerra necesitamos declarar una Guerra Total, movilizando a la gente de las granjas para conseguir más soldados, tal vez podamos tener una oportunidad.;;;;;;;;x
enforce_development_title;Enforce Development;;;;Reforzar el Desarrollo;;;;;;;;x
enforce_development_desc;The modernization of our technology must be a priority for now, the rest of the world is advancing and, if we want to remain as a competitive nation, investing in strengthening development must be mandatory.;;;;La modernización de nuestra tecnología debe ser una prioridad por ahora, el resto del mundo avanza y, si queremos seguir siendo una nación competitiva, invertir en fortalecer el desarrollo debe ser obligatorio.;;;;;;;;x
new_kind_of_government_title;A New Kind of Government;;;;Un Nuevo Tipo de Gobierno;;;;;;;;x
new_kind_of_government_desc;Unlike the old continent, in America everything is new, people have more possibilities and governments can create new administrative models.;;;;A diferencia del viejo continente, en América todo es nuevo, la gente tiene más posibilidades y los gobiernos pueden crear nuevos modelos administrativos.;;;;;;;;x
expansionist_dessire_title;Expansionist Dessire;;;;Deseo Expansionista;;;;;;;;x
expansionist_dessire_desc;The world is occupied almost in its entirety, every land has an owner, and the American nations are late in the distribution of land, that is why the expansionist sentiment cannot be easily satisfied.;;;;El mundo está ocupado casi en su totalidad, cada tierra tiene un dueño y las naciones americanas están atrasadas en la distribución de la tierra, por eso el sentimiento expansionista no se puede satisfacer fácilmente.;;;;;;;;x
new_worlders_title;New Worlders;;;;Nuevo Mundo;;;;;;;;x
new_worlders_desc;Far from European tensions, the new world is a destination for immigrants where everyone has new opportunities, that is why a government more open to listening to public opinion becomes vital for the success and prosperity of a nation in this new continent.;;;;Lejos de las tensiones europeas, el nuevo mundo es un destino de inmigrantes donde todos tienen nuevas oportunidades, por eso un gobierno más abierto a escuchar a la opinión pública se vuelve vital para el éxito y la prosperidad de una nación en este nuevo continente.;;;;;;;;x
the_unexpected_gp_title;The Unexpected Great Power;;;;La Inesperada Gran Potencia;;;;;;;;x
the_unexpected_gp_desc;In an already defined world it is difficult for something to happen unexpectedly, but our rise as Great Power has surprised the entire world.;;;;En un mundo ya definido es difícil que algo suceda inesperadamente, pero nuestro ascenso como Gran Potencia ha sorprendido al mundo entero.;;;;;;;;x
bolivar_legacy_title;Libertadores Legacy;;;;Legado de los Libertadores;;;;;;;;x
bolivar_legacy_desc;The continent fought for years for its independence, but now, already independent, we continue to be influenced by the Spanish crown, without a doubt, it is not what we expected. We must establish the boundaries with the European nations.;;;;El continente luchó durante años por su independencia, pero ahora, ya independientes, seguimos influenciados por la corona española, sin duda, no es lo que esperábamos. Debemos establecer las fronteras con las naciones europeas.;;;;;;;;x
pacific_ocean_commonwealt_title;Pacific Ocean Commonwealth;;;;Mancomunidad del Oceano Pacífico;;;;;;;;x
pacific_ocean_commonwealt_desc;As the last discovered continent, our economy is not at the level of the rest of the world, we must create relationships with our neighbors to create new trade routes and activate the economy.;;;;Como último continente descubierto, nuestra economía no está al nivel del resto del mundo, debemos crear relaciones con nuestros vecinos para crear nuevas rutas comerciales y activar la economía.;;;;;;;;x
austral_horizons_title;Austral Horizons;;;;Horizontes Australes;;;;;;;;x
austral_horizons_desc;Many people in the world prefer to get away from all the problems that the great continents have, our nation is far from any problem and for that reason immigrants have seen a huge opportunity on our island.;;;;Mucha gente en el mundo prefiere alejarse de todos los problemas que tienen los grandes continentes, nuestra nación está lejos de cualquier problema y por eso los inmigrantes han visto una gran oportunidad en nuestra isla.;;;;;;;;x
new_methods_nz_title;New Methods;;;;Nuevos Metodos;;;;;;;;x
new_methods_nz_desc;As a nation surrounded by the ocean, it is important to develop our naval technology and maritime tactics, applying a new vision of the dominance of the seas will be important for the development of our naval power.;;;;Como nación rodeada por el océano, es importante desarrollar nuestra tecnología naval y tácticas marítimas, aplicar una nueva visión del dominio de los mares será importante para el desarrollo de nuestro poder naval.;;;;;;;;x
term_of_his_natural_life_title;Terms of his natural life;;;;Terms of his natural life;;;;;;;;x
term_of_his_natural_life_desc;For the Term of His Natural Life is a story written by Marcus Clarke and published in The Australian Journal between 1870 and 1872.\n It was published as a novel in 1874 and is the best known novelisation of life as a convict in early Australian history.\n The book was favourably reviewed in London by the Athenaeum, Spectator, Vanity Fair, The Graphic, The Standard and the Morning Post.\n It is considered one of the first examples of Tasmanian Gothic literature.;;;;For the Term of His Natural Life es una historia escrita por Marcus Clarke y publicada en The Australian Journal entre 1870 y 1872.\n Se publicó como novela en 1874 y es la novelización más conocida de la vida de un convicto en la historia temprana de Australia.\n El libro fue puntuado favorablemente en Londres por el Athenaeum, Spectator, Vanity Fair, The Graphic, The Standard y el Morning Post.\n Se considera uno de los primeros ejemplos de la literatura Gótica Tasmana.;;;;;;;;x
found_otago_university_title;Foundation of the University of Otago;;;;Fundación de la Universidad de Otago;;;;;;;;x
found_otago_university_desc;The university was created by a committee led by Thomas Burns, and officially established by an ordinance of the Otago Provincial Council in 1869.\n The university accepted its first students in July 1871, making it the oldest university in New Zealand and third-oldest in Oceania.;;;;La universidad fue creada por un comité dirigido por Thomas Burns y oficialmente establecida por una ordenanza del Consejo Provincial de Otago en 1869.\n La universidad aceptó a sus primeros estudiantes en Julio de 1871, lo que la convierte en la universidad más antigua de Nueva Zelanda y la tercera más antigua en Oceanía.;;;;;;;;x
tariffs_on_sugarcanes_title;Rise tariffs on sugarcanes;;;;Tarifas sobre la caña de azucar;;;;;;;;x
tariffs_on_sugarcanes_desc;The Reciprocity Treaty of 1875 allowed Hawaii to sell sugar to the United States without paying duties or taxes, greatly increasing plantation profits. This treaty also guaranteed that all of the resources including land, water, human labor power, capital, and technology would be thrown behind sugarcane cultivation.\n The 1890 McKinley Tariff Act, an effort by the United States government to decrease the competitive pricing of Hawaiian sugar, paid 2 cents per pound to mainland producers.;;;;El Tratado de Reciprocidad de 1875 permitió a Hawái vender azúcar a Estados Unidos sin pagar aranceles ni impuestos, lo que aumentó enormemente las ganancias de las plantaciones. Este tratado también garantizaba que todos los recursos, incluida la tierra, el agua, la mano de obra humana, el capital y la tecnología, se destinarían al cultivo de la caña de azúcar.\n La Ley de Tarifas McKinley de 1890 es un esfuerzo del gobierno de los Estados Unidos para disminuir los precios competitivos de Azúcar hawaiano, pagado 2 centavos por libra a los productores del continente.;;;;;;;;x
liberate_israel_title;Liberate Israel;;;;Liberar Israel;;;;;;;;x
liberate_israel_desc;After negotiations, treaties, and promises, it is time to finally give the Jewish people a nation.;;;;Después de negociaciones, tratados y promesas, es hora de finalmente darle al pueblo judío una nación.;;;;;;;;x
new_silk_road_title;New Silk Road;;;;Nueva Ruta de la Seda;;;;;;;;x
new_silk_road_desc;Our thriving economy and industry have put our nation under the eyes of the whole world, and with a strong navy we could begin a new trade route.;;;;Nuestra próspera economía e industria han puesto a nuestra nación bajo los ojos de todo el mundo, y con una armada fuerte podríamos comenzar una nueva ruta comercial.;;;;;;;;x
malasia_region_ruler_title;Malaysia Region Ruler;;;;Gobernante de la Región de Malasia;;;;;;;;x
malasia_region_ruler_desc;Who controls the sea, controls the region. The Malaysian region is rich in resources and culture, creating a powerful naval force will give us the hegemony of the seas and, therefore, of the islands.;;;;Quien controla el mar, controla la región. La región de Malasia es rica en recursos y cultura, crear una poderosa fuerza naval nos dará la hegemonía de los mares y, por tanto, de las islas.;;;;;;;;x
philipine_reform_title;Philippine Reform;;;;Reforma Filipina;;;;;;;;x
philipine_reform_desc;Our nation is now independent, but it is not prosperous, our people are starving and we do not have enough development to create industry, knowledge about mechanics and economics is almost nil, so strengthening education should be the first step towards prosperity.;;;;Nuestra nación ahora es independiente, pero no es próspera, nuestra gente pasa hambre y no tenemos el desarrollo suficiente para crear industria, el conocimiento sobre mecánica y economía es casi nulo, por lo que fortalecer la educación debe ser el primer paso hacia la prosperidad.;;;;;;;;x
restore_the_sultanate_title;Restore the Brunei Sultanate;;;;Restaurar el Sultanato de Brunei;;;;;;;;x
restore_the_sultanate_desc;The Bruneian Empire or Empire of Brunei, also known as Sultanate of Brunei, was a Malay sultanate, centred in Brunei on the northern coast of Borneo island in Southeast Asia. Bruneian rulers converted to Islam around the 15th century, when it grew substantially since the fall of Malacca to the Portuguese, extending throughout coastal areas of Borneo and the Philippines, before it declined in the 17th century.;;;;El Imperio de Brunei, también conocido como Sultanato de Brunei, era un sultanato malayo, centrado en Brunei en la costa norte de la isla de Borneo en el sudeste asiático. Los gobernantes de Brunei se convirtieron al Islam alrededor del siglo XV, cuando creció sustancialmente desde la caída de Malaca ante los portugueses, extendiéndose a lo largo de las áreas costeras de Borneo y Filipinas, antes de su declive en el siglo XVII.;;;;;;;;x
hidden_himalayan_kingdoms_title;Hidden Himalayan Kingdoms;;;;Reinos Ocultos Himalayos;;;;;;;;x
hidden_himalayan_kingdoms_desc;The Himalayas give us a lot of security from neighboring kingdoms, but they don't provide us with large regions for agriculture, for this we must develop our technology.;;;;Los Himalayas nos brindan mucha seguridad de los reinos vecinos, pero no nos brindan grandes regiones para la agricultura, para ello debemos desarrollar nuestra tecnología.;;;;;;;;x
land_prosperity_title;Land of Prosperity;;;;Tierra de Prosperidad;;;;;;;;x
land_prosperity_desc;With the new western technologies that have come to our nation it seems that agriculture and the economy begin to grow, it could be that this is the true path to prosperity.;;;;Con las nuevas tecnologías occidentales que han llegado a nuestra nación parece que la agricultura y la economía comienzan a crecer, podría ser que este sea el verdadero camino hacia la prosperidad.;;;;;;;;x
heaven_mandate_title;Mandate of the Heaven;;;;Mandato de los Cielos;;;;;;;;x
heaven_mandate_desc;With the Chinese defeat, our nation can bring Christianity to all of Asia, the first step will be the old states under Chinese control.;;;;Con la derrota china, nuestra nación puede llevar el cristianismo a toda Asia, el primer paso serán los viejos estados bajo control chino.;;;;;;;;x
japanese_asian_empire_dream_title;Japanese Asian Empire Dream;;;;Sueño del Imperio Asiático Japonés;;;;;;;;x
japanese_asian_empire_dream_desc;The rise of Japan as a civilized nation has been a glorious event,  but, this woke an expansionist ideal, taking Asia and becoming the biggest empire of the world.;;;;El ascenso de Japón como nación civilizada ha sido un evento glorioso, pero esto despertó un ideal expansionista, tomando Asia y convirtiéndose en el imperio más grande del mundo.;;;;;;;;x
decision_over_korea_title;Sino-Japanese Tension;;;;Tensión Sino-Japonesa;;;;;;;;x
decision_over_korea_desc;The First Sino-Japanese War, between 25 July 1894 - 17 April 1895, was a conflict between the Qing dynasty of China and the Empire of Japan primarily over influence in Joseon Korea. After more than six months of unbroken successes by Japanese land and naval forces and the loss of the port of Weihaiwei, the Qing government sued for peace in February 1895.;;;;La Primera Guerra Sino-Japonesa, entre el 25 de julio de 1894 y el 17 de abril de 1895, fue un conflicto entre la dinastía Qing de China y el Imperio de Japón principalmente por la influencia en Joseon Corea. Después de más de seis meses de éxitos ininterrumpidos de las fuerzas terrestres y navales japonesas y la pérdida del puerto de Weihaiwei, el gobierno de Qing pidió la paz en febrero de 1895.;;;;;;;;x
the_rise_of_sun_title;The Rise of the Sun;;;;El Sol Naciente;;;;;;;;x
the_rise_of_sun_desc;Japan, under the influence of the Great Powers, and now civilized, seeks recognition as the hegemonic power of Asia, but without much success, only the United Kingdom would recognize Japan and initiate relations between both nations, both military and commercial.;;;;Japón, bajo la influencia de las Grandes Potencias, y ahora civilizado, busca el reconocimiento como potencia hegemónica de Asia, pero sin mucho éxito, solo Reino Unido reconocería a Japón e iniciaría relaciones entre ambas naciones, tanto militares como comerciales.;;;;;;;;x
decision_over_sakhalin_title;Decision over Sakhalin;;;;La decisión sobre Sakhalin;;;;;;;;x
decision_over_sakhalin_desc;The first Russo-Japanese agreement to deal with the status of Sakhalin and the Kuril Islands was the 1855 Treaty of Shimoda, which first established official relations between Russia and Japan.\n Article 2 of the Treaty of Shimoda, which provided for an agreement on borders, states 'Henceforth the borders between Russia and Japan will pass between the islands Iturup and Urup'.;;;;El primer acuerdo ruso-japonés que se ocupó del estado de Sakhalin y las islas Kuriles fue el Tratado de Shimoda de 1855, que estableció por primera vez relaciones oficiales entre Rusia y Japón.\n El artículo 2 del Tratado de Shimoda, que preveía un acuerdo sobre fronteras, declara 'De ahora en adelante, las fronteras entre Rusia y Japón pasarán entre las islas Iturup y Urup'.;;;;;;;;x
expedition_to_japan_title;Expedition to Japan;;;;Expedición a Japón;;;;;;;;x
expedition_to_japan_desc;The expedition is commanded by Commodore Matthew Calbraith Perry, under orders from President Millard Fillmore.\n Perry's primary goal is to force an end the Japan's 220-year-old policy of isolation and to open Japanese ports to American trade, through the use of gunboat diplomacy if necessary.;;;;La expedición está comandada por el comodoro Matthew Calbraith Perry, bajo las órdenes del presidente Millard Fillmore.\n El objetivo principal de Perry es forzar el fin de la política japonesa de 220 años de aislamiento y abrir los puertos japoneses al comercio estadounidense, mediante el uso de la fuerza si es necesario.;;;;;;;;x
support_the_meiji_title;Support the Meiji;;;;Meiji es apoyado;;;;;;;;x
support_the_meiji_desc;The Japanese knew they were behind the Western powers when US Commodore Matthew C. Perry came to Japan in 1853 in large warships with armaments and technology that far outclassed those of Japan with the intent to conclude a treaty that would open up japanese ports to trade.\n Figures like Shimazu Nariakira concluded that 'if we take the initiative, we can dominate, if we do not, we will be dominated', leading Japan to 'throw open its doors' to foreign technology.;;;;Los japoneses sabían que estaban detrás de las potencias occidentales cuando el comodoro estadounidense Matthew C. Perry llegó a Japón en 1853 en grandes buques de guerra con armamento y tecnología que superaban con creces a los de Japón con la intención de concluir un tratado que abriera los puertos japoneses al comercio.\n Figuras como Shimazu Nariakira concluyeron que 'si tomamos la iniciativa podemos dominar, si no lo hacemos, seremos dominados', lo que llevó a Japón a 'derrivar sus puertas' a favor de la tecnología.;;;;;;;;x
support_from_england_title;Tech support from England;;;;Suporte tecnológico de Inglaterra;;;;;;;;x
support_from_england_desc;During the turbulent history prior to the Meiji Restoration, the British showed interest in the situation, while seeking to protect their interests and property in the region. For this reason, the United Kingdom provided materials, technology and knowledge to the imperial side.;;;;Durante la turbulenta historia previa a la Restauración Meiji, los britanicos mostraban interes en la situacion, a la vez que buscaban proteger sus intereses y propiedades en la region. Por tal motivio, Reino Unido proveía de materiales, tecnologia y conocimientos al bando imperial.;;;;;;;;x
support_the_emperor_title;Support the Emperor;;;;Apoyar al Emperador;;;;;;;;x
support_the_emperor_desc;Although the Japanese island is ruled by an emperor, the true ruler is the Tokugawa shogun.\n The shogunate uses its power to control the island and the daimyos, but, thanks to this, peace has been maintained for two centuries.;;;;Aunque la isla japonesa es gobernada por un emperador, el verdadero gobernador de facto es el shogun de Tokugawa.\n El shogunato usa su poder para controlar la isla y los daimyos, aun así, gracias a esto, se ha mantenido la paz durante dos siglos.;;;;;;;;x
trading_companies_title;Trading companies;;;;Compañias de comercio;;;;;;;;x
trading_companies_desc;For years, Western Powers have requested permission to trade in our lands, but the Tokugawa shogunate have restricted these actions, affecting the economy and the variety of materials that we have.\n It is time to decide on our own and create trading companies with those western nations.;;;;Durante años, Potencias occidentales han pedido permiso de comercio en nuestras tierras, pero el shogunato Tokugawa han restringido estas acciones, afectando las economia y la variedad de materiales con las que disponemos.\n Es hora de decidir por nuestra cuenta y crear compañias de comercio con esas naciones occidentales.;;;;;;;;x
social_develop_title;Social Development;;;;Desarrollo social;;;;;;;;x
social_develop_desc;The development of society must be a priority if we want a strong and stable nation.\n If society supports our government, it will also support us when we declare war.;;;;El desarrollo de la sociedad debe ser una prioridad si queremos una nación fuerte y estable.\n Si la sociedad apoya a nuestro gobierno, también nos apoyará cuando declaremos la guerra.;;;;;;;;x
exploration_mission_title;Exploration Mission;;;;Misión de exploración;;;;;;;;x
